










































































































新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
河北肺炎疫情实时动态,12月8日河北省新型冠状病毒肺炎疫情情况,https://baijiahao.baidu.com/s?id=1685565956996019557&amp;wfr=spider&amp;for=pc,潇湘名医,2020-12-9,30
河北肺炎疫情实时动态,12月4日河北新冠肺炎疫情情况,https://baijiahao.baidu.com/s?id=1685203189936822606&amp;wfr=spider&amp;for=pc,潇湘晨报,2020-12-5,25
河北肺炎疫情实时动态,王东峰主持召开河北省应对新冠肺炎疫情工作领导小组会议,http://www.he.xinhuanet.com/xinwen/2020-12/02/c_1126810569.htm,新华网河北频道,2020-12-2,10
河北肺炎疫情实时动态,"疫情发布|11月24日,河北省新型冠状病毒肺炎疫情情况",https://baijiahao.baidu.com/s?id=1684307869830132921&amp;wfr=spider&amp;for=pc,潇湘名医,2020-11-25,25
河北肺炎疫情实时动态,河北故城县医院举行新冠肺炎疫情应急处置演练,https://baijiahao.baidu.com/s?id=1684142975494703790&amp;wfr=spider&amp;for=pc,河北新闻网,2020-11-23,10
河北肺炎疫情实时动态,「聚焦」2020年11月22日河北省新型冠状病毒肺炎疫情情况,https://baijiahao.baidu.com/s?id=1684134304394821703&amp;wfr=spider&amp;for=pc,潇湘名医,2020-11-23,10
河北肺炎疫情实时动态,紧急扩散!河北多地最新通告来了|河北多家医院发布重要信息!禁止探视,https://new.qq.com/rain/a/20201123a0dxz300,腾讯网,2020-11-23,10
河北肺炎疫情实时动态,注意!河北多地最新通告来了,https://xw.qq.com/cmsid/20201122a031ut00,腾讯网,2020-11-22,25
河北肺炎疫情实时动态,严格管控:河北省乐亭县发布强化新冠肺炎疫情管控通告,https://baijiahao.baidu.com/s?id=1683867700768594377&amp;wfr=spider&amp;for=pc,新浪财经,2020-11-20,10
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
浙江肺炎疫情实时动态,权威发布 市民必看|2021疫控一号通告八条硬核措施共同守护家园,http://new.qq.com/omn/ENT20190/20210110A05HP900.html,腾讯网,2021-01-10,0
浙江肺炎疫情实时动态,直播页面,http://www.ce.cn/ztpd/xwzt/xzbzt/fbh218_337847/sdff/?0.8836835334602,中国经济网,2021-01-10,0
浙江肺炎疫情实时动态,「疫情防控」崇信县新冠肺炎疫情联防联控领导小组办公室公告(第11...,https://baijiahao.baidu.com/s?id=1688411954506294453&amp;wfr=spider&amp;for=pc,崇信发布,2021-1-9,0
浙江肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
浙江肺炎疫情实时动态,别侥幸!速看!冬季农村(城中村)新冠肺炎疫情防控最新提示,https://baijiahao.baidu.com/s?id=1688389773950037509&amp;wfr=spider&amp;for=pc,湘湘带你看社会,2021-1-9,20
浙江肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,20
浙江肺炎疫情实时动态,王普清出席省政府新冠肺炎疫情防控新闻发布会并回答记者提问,https://baijiahao.baidu.com/s?id=1688375476568249691&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
浙江肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,10
浙江肺炎疫情实时动态,寒夜出征!浙江103人医疗队紧急集结驰援河北,http://news.enorth.com.cn/system/2021/01/08/050877330.shtml,北方网,2021-1-8,25
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
浙江肺炎疫情实时动态,权威发布 市民必看|2021疫控一号通告八条硬核措施共同守护家园,http://new.qq.com/omn/ENT20190/20210110A05HP900.html,腾讯网,2021-01-10,0
浙江肺炎疫情实时动态,直播页面,http://www.ce.cn/ztpd/xwzt/xzbzt/fbh218_337847/sdff/?0.8836835334602,中国经济网,2021-01-10,0
浙江肺炎疫情实时动态,「疫情防控」崇信县新冠肺炎疫情联防联控领导小组办公室公告(第11...,https://baijiahao.baidu.com/s?id=1688411954506294453&amp;wfr=spider&amp;for=pc,崇信发布,2021-1-9,0
浙江肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
浙江肺炎疫情实时动态,别侥幸!速看!冬季农村(城中村)新冠肺炎疫情防控最新提示,https://baijiahao.baidu.com/s?id=1688389773950037509&amp;wfr=spider&amp;for=pc,湘湘带你看社会,2021-1-9,20
浙江肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,20
浙江肺炎疫情实时动态,王普清出席省政府新冠肺炎疫情防控新闻发布会并回答记者提问,https://baijiahao.baidu.com/s?id=1688375476568249691&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
浙江肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,10
浙江肺炎疫情实时动态,寒夜出征!浙江103人医疗队紧急集结驰援河北,http://news.enorth.com.cn/system/2021/01/08/050877330.shtml,北方网,2021-1-8,25
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
浙江肺炎疫情实时动态,1月1日18时至2日18时 天津市新增1例境外输入确诊病例,https://www.163.com/dy/article/FVC8QUR20514R9OJ.html,网易,2021-1-2,20
浙江肺炎疫情实时动态,厉害了我的国!新冠病毒疫苗获批上市!全民免费!各地最新消息看这里!,https://www.163.com/dy/article/FV8C61JU0514AR44.html,网易,2021-1-1,0
浙江肺炎疫情实时动态,最新!云南新增1例境外输入确诊病例、1例境外输入无症状感染者,https://www.163.com/dy/article/FV8C61780550EB0R.html,网易,2021-1-1,30
浙江肺炎疫情实时动态,最新疫情通报!云南新增4例境外陆路输入无症状感染者,https://www.163.com/dy/article/FV3Q0J800550EB0R.html,网易,2020-12-30,30
浙江肺炎疫情实时动态,数读12月29日全球疫情:全球日增确诊超65万例 美国新增超20万例,https://www.163.com/dy/article/FV3E0PR004179HV5.html,网易,2020-12-30,30
浙江肺炎疫情实时动态,2020年国际思潮动态:疫情变局多乱象 命运与共是潮流,http://news.china.com.cn/2020-12/30/content_77064165.htm,中国网,2020-12-30,15
浙江肺炎疫情实时动态,「新闻早茶」2021年春运火车票今天起开始发售!还有这些热点……,https://www.163.com/dy/article/FV34NQR30514TTN3.html,网易,2020-12-30,30
浙江肺炎疫情实时动态,"支棱起来!全国已有22个疫情中风险区!扩散!关于元旦春节,天津最新...",https://www.163.com/dy/article/FUUCLDMC0545BQ6G.html,网易,2020-12-28,10
浙江肺炎疫情实时动态,东北此地新增9例!这些地方有风险!哈市疾控中心紧急提醒,https://www.163.com/dy/article/FUUC0M5V0514BL5N.html,网易,2020-12-28,25
浙江肺炎疫情实时动态,保险周报(12月28日)|保险公司|财险|寿险|人保|人寿_网易订阅,https://www.163.com/dy/article/FUU2LGQO05198CJN.html,网易,2020-12-28,20
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
浙江肺炎疫情实时动态,"新闻调查丨从追查来源到打造救治闭环,上海防疫27天经历了什么",http://news.cnwest.com/tianxia/a/2020/12/27/19394309.html,西部网（陕西新闻网）,2020-12-27,45
浙江肺炎疫情实时动态,直播页面,http://www.ce.cn/ztpd/xwzt/xzbzt/ylfwzl_338228/04/?0.6431281463164484,中国经济网,2020-12-26,30
浙江肺炎疫情实时动态,【2020风云浙商30强展播】李天天——整合疫情数据 普及医学知识,https://www.163.com/dy/article/FUKI8SN50517CRHA.html,网易,2020-12-24,0
浙江肺炎疫情实时动态,全球疫情:全球日增确诊超67万例 美国新增超22万例,https://www.163.com/dy/article/FUK72O8M04179HV5.html,网易,2020-12-24,0
浙江肺炎疫情实时动态,数字化为全球经济注入新动能,https://tech.gmw.cn/2020-11/26/content_34402935.htm,手机光明网,2020-11-26,15
浙江肺炎疫情实时动态,浙江举行第56场疫情防控发布会 已连续152天无新增本地确诊病例,http://news.cnr.cn/local/dfyc/20201116/t20201116_525331634.shtml,央广网,2020-11-16,15
浙江肺炎疫情实时动态,...纳指尾盘大幅跳水;世卫:明年三月或从根本上改变疫情发展方向,https://finance.ifeng.com/c/81GkM2OlvTC,手机凤凰网,2020-11-10,40
浙江肺炎疫情实时动态,浙江“揭榜挂帅”行动半年攻克近百难题,http://zj.people.com.cn/n2/2020/1105/c186327-34395703.html,人民网,2020-11-5,30
浙江肺炎疫情实时动态,"“哪里有需要,我们就去哪里” ——记浙江省疾病预防控制中心",https://zjnews.zjol.com.cn/zjnews/zjxw/202010/t20201009_12345545_ext.shtml,浙江在线,2020-10-9,40
浙江肺炎疫情实时动态,国务院印发北京、湖南、安徽自由贸易试验区总体方案及浙江自由...,http://www.ce.cn/xwzx/gnsz/gdxw/202009/21/t20200921_35781602.shtml,中国经济网,2020-9-21,30
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
浙江肺炎疫情实时动态,全国抗击新冠肺炎疫情先进集体昌都市疾控中心:勇担责任筑牢抗疫堡垒,http://www.tibet.cn/cn/medicine/news/202009/t20200914_6853433.html,中国西藏网,2020-9-14,35
浙江肺炎疫情实时动态,一部手机“掌管健康” 浙江宁波塑智慧医疗“样板间”,https://difang.gmw.cn/nb/2020-09/08/content_34166583.htm,手机光明网,2020-9-8,30
浙江肺炎疫情实时动态,日本疫情,http://news.ifeng.com/c/special/7uLyp1412jw,手机凤凰网,2020-8-29,30
浙江肺炎疫情实时动态,浙江省卫健委公开通报疫情防控期间典型违法违规案件,https://news.hangzhou.com.cn/zjnews/content/2020-08/27/content_7800562.htm?open_source=weibo_search,杭州网,2020-8-27,30
浙江肺炎疫情实时动态,截至8月8日24时新型冠状病毒肺炎疫情最新情况,http://www.gov.cn/xinwen/2020-08/09/content_5533416.htm,中国政府网,2020-8-9,5
浙江肺炎疫情实时动态,美国确诊病例超469万 英国拟用机器检测病毒,http://world.people.com.cn/GB/n1/2020/0804/c1002-31809424.html,人民网,2020-8-4,5
浙江肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/zt2020/page/feiyan.htm?from=timeline&amp;isappinstalled=0&amp;ivk_sa=1023197a#/area?pool=jiangsu,腾讯网,2020-8-2,10
浙江肺炎疫情实时动态,国内疫情 新疆疫情 海外疫情 最新进展 定点医院 病患轨迹 较真辟谣,https://news.qq.com/zt2020/page/feiyan.htm#/newsList?pool=xinjiang&amp;nojump=1,腾讯网,2020-7-28,10
浙江肺炎疫情实时动态,全球疫情要览(7月28日)美人口四大州成重疫区 全球新冠死亡病例...,http://news.yunnan.cn/system/2020/07/28/030835808.shtml,云南网,2020-7-28,10
浙江肺炎疫情实时动态,凤凰网-全球新冠肺炎疫情实时动态,http://news.ifeng.com/c/special/7uLyp1412jw?code=USA&amp;amp;needpage=1&amp;amp;webkit=1,手机凤凰网,2020-7-27,10
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
上海肺炎疫情实时动态,权威发布 市民必看|2021疫控一号通告八条硬核措施共同守护家园,http://new.qq.com/omn/ENT20190/20210110A05HP900.html,腾讯网,2021-01-10,0
上海肺炎疫情实时动态,实时排查、备好物资……社区防控不放松,https://baijiahao.baidu.com/s?id=1688415561295312725&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,0
上海肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,30
上海肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,25
上海肺炎疫情实时动态,王普清出席省政府新冠肺炎疫情防控新闻发布会并回答记者提问,https://baijiahao.baidu.com/s?id=1688375476568249691&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
上海肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,10
上海肺炎疫情实时动态,直播页面,http://www.ce.cn/ztpd/xwzt/xzbzt/gdfg_338969/gsg/?0.603641010800007,中国经济网,2021-1-8,15
上海肺炎疫情实时动态,"又现“大头娃娃”!官方发布通报,涉事厂商回应…… | 医脉3分钟",http://news.medlive.cn/all/info-news/show-175313_97.html,医脉通,2021-1-8,15
上海肺炎疫情实时动态,"证据确凿!国内多地疫情反扑,大批人疯狂囤货",https://baijiahao.baidu.com/s?id=1688308794484136552&amp;wfr=spider&amp;for=pc,超拼视频购,2021-1-8,30
上海肺炎疫情实时动态,江西省新冠肺炎疫情防控工作新闻发布会(第二十八场)在南昌举行,http://www.jiangxi.gov.cn/art/2021/1/8/art_5862_3045674.html,江西省人民政府网,2021-1-8,25
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
上海肺炎疫情实时动态,权威发布 市民必看|2021疫控一号通告八条硬核措施共同守护家园,http://new.qq.com/omn/ENT20190/20210110A05HP900.html,腾讯网,2021-01-10,0
上海肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
上海肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,10
上海肺炎疫情实时动态,王普清出席省政府新冠肺炎疫情防控新闻发布会并回答记者提问,https://baijiahao.baidu.com/s?id=1688375476568249691&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
上海肺炎疫情实时动态,"证据确凿!国内多地疫情反扑,大批人疯狂囤货",https://baijiahao.baidu.com/s?id=1688308794484136552&amp;wfr=spider&amp;for=pc,超拼视频购,2021-1-8,15
上海肺炎疫情实时动态,江西举行新冠肺炎疫情防控工作新闻发布会(第二十八场),http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/jiangxi/Document/1696625/1696625.htm,中华人民共和国国务院新闻办公室,2021-1-8,15
上海肺炎疫情实时动态,刚刚!省里传来重要消息!事关春节疫情防控,http://m.thepaper.cn/newsDetail_forward_10707592,澎湃新闻,2021-1-8,30
上海肺炎疫情实时动态,集宁区新冠肺炎疫情防控指挥部四十八号公告——关于进一步加强...,http://www.thepaper.cn/newsDetail_forward_10694348,澎湃新闻,2021-1-7,25
上海肺炎疫情实时动态,"河北省新增51例,其中2人曾在山西活动!|太原市疾控中心|疫情防控|...",http://new.qq.com/omn/ENT20190/20210107A096MP00.html,腾讯网,2021-1-7,40
上海肺炎疫情实时动态,"大同市新冠肺炎疫情防控工作领导组发布紧急通知,速看!",http://www.thepaper.cn/newsDetail_forward_10689843,澎湃新闻,2021-1-7,20
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
上海肺炎疫情实时动态,【美国最新疫情动态:美国累计确诊病例突破2211万例、死亡人数超37...,https://www.fx168.com/fx168_t/2101/4555544.shtml,FX168财经网,2021-1-8,25
上海肺炎疫情实时动态,"河北省新增51例,其中2人曾在山西活动!",https://new.qq.com/omn/20210107/20210107a096mp00.html,腾讯网,2021-1-7,20
上海肺炎疫情实时动态,升级实时疫情简报 新病例风险随手查,http://new.qq.com/omn/ENT20190/20210107A05HLA00.html,腾讯网,2021-1-7,5
上海肺炎疫情实时动态,截至1月6日24时新型冠状病毒肺炎疫情最新情况,http://www.nmg.gov.cn/ztzl/qlfkxxgzbdfynmgzxd/yqfk/202101/t20210107_415003.html,中国内蒙古,2021-1-7,5
上海肺炎疫情实时动态,"王东峰在河北省应对新冠肺炎疫情工作领导小组扩大会议上强调,科学...",https://baijiahao.baidu.com/s?id=1688183905812745076&amp;wfr=spider&amp;for=pc,环球网,2021-1-7,20
上海肺炎疫情实时动态,【全球疫情最新动态:全球累计确诊病例突破8684万例】Worldometers...,https://www.fx168.com/fx168_t/2101/4550753.shtml,FX168财经网,2021-1-6,20
上海肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/hdh5/feiyanarea.htm?qimei=860299043556478&amp;devid=230533bc05dc4269&amp;uid=100219574792#/area/?pool=&amp;channelId=news_news_gdsg,腾讯网,2021-1-4,10
上海肺炎疫情实时动态,【全球疫情最新动态:全球累计确诊病例突破8546万例】Worldometers...,https://www.fx168.com/fx168_t/2101/4542483.shtml,FX168财经网,2021-1-4,10
上海肺炎疫情实时动态,【全球疫情最新动态:全球累计确诊病例突破8545万例】Worldometers...,https://www.fx168.com/fx168_t/2101/4542468.shtml,FX168财经网,2021-1-4,30
上海肺炎疫情实时动态,「特写」上海2020年抗疫成绩单出炉:1412名患者治愈出院,https://baijiahao.baidu.com/s?id=1687647173040272737&amp;wfr=spider&amp;for=pc,界面新闻,2021-1-1,10
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
上海肺炎疫情实时动态,“疫考”成绩:交出人民满意的答卷——访上海市松江区中心医院副...,https://baijiahao.baidu.com/s?id=1687609307342136725&amp;wfr=spider&amp;for=pc,潇湘名医,2020-12-31,35
上海肺炎疫情实时动态,【加拿大最新疫情动态】据实时信息数据更新网站Worldometers的...,https://www.fx168.com/fx168_t/2012/4537096.shtml,FX168财经网,2020-12-31,35
上海肺炎疫情实时动态,"【全球疫情最新动态】Worldometers世界实时统计数据显示,截至香港...",https://www.fx168.com/fx168_t/2012/4536387.shtml,FX168财经网,2020-12-31,25
上海肺炎疫情实时动态,1月1日·上海要闻及抗击肺炎快报,https://new.qq.com/omn/20210101/20210101A02B4800.html,腾讯网,2020-12-31,20
上海肺炎疫情实时动态,【全球最新疫情动态】据实时信息数据更新网站Worldometers的统计...,http://www.fx168.com/fx168_t/2012/4533025.shtml,FX168财经网,2020-12-30,25
上海肺炎疫情实时动态,全球新型肺炎疫情实时动态 今日全球新型肺炎疫情实时通报,https://new.qq.com/omn/20201230/20201230A02AE800.html,腾讯网,2020-12-30,20
上海肺炎疫情实时动态,【中国疫情最新消息】上海卫健委:昨日上海无新增本地新冠肺炎确诊...,https://www.fx168.com/fx168_t/2012/4528467.shtml,FX168财经网,2020-12-29,5
上海肺炎疫情实时动态,"支棱起来!全国已有22个疫情中风险区!扩散!关于元旦春节,天津最新...",https://www.163.com/dy/article/FUUCLDMC0545BQ6G.html,网易,2020-12-28,5
上海肺炎疫情实时动态,「全球疫情追踪」已有十多个国家发现变异新冠病毒感染者*专家称暂...,https://baijiahao.baidu.com/s?id=1687291320618027308&amp;wfr=spider&amp;for=pc,金融界,2020-12-28,25
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
上海肺炎疫情实时动态,早财经丨游族网络39岁董事长救治无效昨日逝世;美国一医生注射莫德...,https://www.163.com/dy/article/FUONF8T10512B07B.html,网易,2020-12-26,40
上海肺炎疫情实时动态,国内疫情 海外疫情 最新进展 定点医院 病患轨迹 较真辟谣,https://news.qq.com/hdh5/feiyanarea.htm,腾讯网,2020-12-20,25
上海肺炎疫情实时动态,【全球最新疫情动态】据实时信息数据更新网站Worldometers的统计...,https://www.fx168.com/fx168_t/2012/4478408.shtml,FX168财经网,2020-12-11,5
上海肺炎疫情实时动态,"【中国疫情最新消息】据健康上海:11月24日0—24时,上海昨日无新增...",https://www.fx168.com/fx168_t/2011/4427599_wap.shtml,FX168财经网,2020-11-25,5
上海肺炎疫情实时动态,上海举行新冠肺炎疫情防控新闻发布会,https://baijiahao.baidu.com/s?id=1684168743847269359&amp;wfr=spider&amp;for=pc,新华网客户端,2020-11-24,25
上海肺炎疫情实时动态,上海召开新冠肺炎疫情防控第88场新闻发布会,https://baijiahao.baidu.com/s?id=1684124682804911127&amp;wfr=spider&amp;for=pc,浙江日报,2020-11-23,20
上海肺炎疫情实时动态,直播预告:今日10点上海市新冠肺炎疫情防控工作新闻发布会,https://baijiahao.baidu.com/s?id=1684111721135380248&amp;wfr=spider&amp;for=pc,潇湘晨报,2020-11-23,20
上海肺炎疫情实时动态,"李强主持上海市新冠肺炎疫情防控工作领导小组专题会议并讲话,龚正...",https://baijiahao.baidu.com/s?id=1684039687119438707&amp;wfr=spider&amp;for=pc,金台资讯,2020-11-22,15
上海肺炎疫情实时动态,上海召开新冠肺炎疫情防控新闻发布会 张文宏:确诊病例为散发病例,https://baijiahao.baidu.com/s?id=1683969493455922116&amp;wfr=spider&amp;for=pc,央广网,2020-11-21,15
上海肺炎疫情实时动态,上海明早将举行新冠肺炎疫情防控工作新闻发布会,https://baijiahao.baidu.com/s?id=1683894535307976391&amp;wfr=spider&amp;for=pc,闪电新闻,2020-11-20,15
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
北京肺炎疫情实时动态,北京新冠肺炎疫情防控工作领导小组连续调度疫情防控工作,https://baijiahao.baidu.com/s?id=1688459968121992575&amp;wfr=spider&amp;for=pc,人民网,2021-01-10,25
北京肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,25
北京肺炎疫情实时动态,房山区新冠肺炎疫情防控工作领导小组会议召开,http://www.beijing.gov.cn/ywdt/gqrd/202101/t20210107_2203878.html,北京市人民政府,2021-1-7,15
北京肺炎疫情实时动态,"大同市新冠肺炎疫情防控工作领导组发布紧急通知,速看!",http://www.thepaper.cn/newsDetail_forward_10689843,澎湃新闻,2021-1-7,15
北京肺炎疫情实时动态,朝阳区新冠肺炎疫情防控工作领导小组召开第一百零三次会议,http://www.beijing.gov.cn/ywdt/gqrd/202101/t20210106_2199862.html,北京市人民政府,2021-1-6,15
北京肺炎疫情实时动态,"...严控高风险人员进京】1月5日下午,北京新冠肺炎疫情防控工作...",https://www.otcbeta.com/kx/caaad90438e5cd4d8088ae1f0b5d1a2a.html,市商网,2021-1-6,15
北京肺炎疫情实时动态,北京新冠肺炎疫情防控工作领导小组召开第九十六次会议,http://bj.people.com.cn/BIG5/n2/2021/0105/c82844-34510995.html,人民网,2021-1-5,15
北京肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/hdh5/feiyanarea.htm?qimei=860299043556478&amp;devid=230533bc05dc4269&amp;uid=100219574792#/area/?pool=&amp;channelId=news_news_gdsg,腾讯网,2021-1-4,15
北京肺炎疫情实时动态,【全球疫情最新动态:全球累计确诊病例突破8545万例】Worldometers...,http://www.fx168.com/fx168_t/2101/4542434.shtml,FX168财经网,2021-1-4,25
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
北京肺炎疫情实时动态,北京新冠肺炎疫情防控工作领导小组连续调度疫情防控工作,https://baijiahao.baidu.com/s?id=1688459968121992575&amp;wfr=spider&amp;for=pc,人民网,2021-01-10,25
北京肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,25
北京肺炎疫情实时动态,房山区新冠肺炎疫情防控工作领导小组会议召开,http://www.beijing.gov.cn/ywdt/gqrd/202101/t20210107_2203878.html,北京市人民政府,2021-1-7,15
北京肺炎疫情实时动态,"大同市新冠肺炎疫情防控工作领导组发布紧急通知,速看!",http://www.thepaper.cn/newsDetail_forward_10689843,澎湃新闻,2021-1-7,15
北京肺炎疫情实时动态,朝阳区新冠肺炎疫情防控工作领导小组召开第一百零三次会议,http://www.beijing.gov.cn/ywdt/gqrd/202101/t20210106_2199862.html,北京市人民政府,2021-1-6,15
北京肺炎疫情实时动态,"...严控高风险人员进京】1月5日下午,北京新冠肺炎疫情防控工作...",https://www.otcbeta.com/kx/caaad90438e5cd4d8088ae1f0b5d1a2a.html,市商网,2021-1-6,15
北京肺炎疫情实时动态,北京新冠肺炎疫情防控工作领导小组召开第九十六次会议,http://bj.people.com.cn/BIG5/n2/2021/0105/c82844-34510995.html,人民网,2021-1-5,15
北京肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/hdh5/feiyanarea.htm?qimei=860299043556478&amp;devid=230533bc05dc4269&amp;uid=100219574792#/area/?pool=&amp;channelId=news_news_gdsg,腾讯网,2021-1-4,15
北京肺炎疫情实时动态,【全球疫情最新动态:全球累计确诊病例突破8545万例】Worldometers...,http://www.fx168.com/fx168_t/2101/4542434.shtml,FX168财经网,2021-1-4,25
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
北京肺炎疫情实时动态,【全球最新疫情动态】据实时信息数据更新网站Worldometers的统计...,https://www.fx168.com/fx168_t/2012/4533025.shtml,FX168财经网,2020-12-30,25
北京肺炎疫情实时动态,全球新型肺炎疫情实时动态 今日全球新型肺炎疫情实时通报,https://new.qq.com/omn/20201230/20201230A02AE800.html,腾讯网,2020-12-30,20
北京肺炎疫情实时动态,疫情通报,http://www.beijing.gov.cn/ywdt/zwzt/yqfk/yqbb/index.html,北京市人民政府,2020-12-29,15
北京肺炎疫情实时动态,...雷军回应“取消附送充电器”;钢琴家傅聪因新冠肺炎在英去世...,http://www.nbd.com.cn/articles/2020-12-28/1582608.html,每日经济新闻,2020-12-29,15
北京肺炎疫情实时动态,"突发!深圳新增1例,近期2次到北京出差!北京进入应急状态,1病例白天...",https://www.163.com/dy/article/FUUJ83PP0530NLC9.html,网易,2020-12-28,5
北京肺炎疫情实时动态,【美国最新疫情动态:美国累计确诊病例突破1956万例、死亡人数超34...,http://www.fx168.com/fx168_t/2012/4524682.shtml,FX168财经网,2020-12-28,5
北京肺炎疫情实时动态,"早财经 | 蚂蚁集团回应被约谈:全面落实要求,立即整改;疫情中风险...",http://www.nbd.com.cn/articles/2020-12-27/1581764.html,每日经济新闻,2020-12-28,55
北京肺炎疫情实时动态,"北京:“两节”期间,加强公园、景区及游客集聚地流量管控",https://new.qq.com/omn/20201227/20201227A0EFSD00.html,腾讯网,2020-12-27,50
北京肺炎疫情实时动态,"...12月26日上午,北京新冠肺炎疫情防控工作领导小组召开视频调度...",http://www.fx168.com/fx168_t/2012/4523578.shtml,FX168财经网,2020-12-27,40
北京肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/hdh5/feiyanarea.htm?qimei=860299043556478&amp;devid=230533bc05dc4269&amp;uid=100219574792#/area/?pool=&amp;channelId=news_news_gdsg,腾讯新闻,2021-1-4,20
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
北京肺炎疫情实时动态,"又是阳性,升为中风险地区!这里进入战时状态,地毯式消杀丨大连通报...",https://www.163.com/dy/article/FUQHQMBQ0534MPB1.html,网易,2020-12-27,5
北京肺炎疫情实时动态,凤凰网-全国新冠肺炎疫情实时动态,https://news.ifeng.com/c/special/7tPlDSzDgVk,手机凤凰网,2020-12-26,5
北京肺炎疫情实时动态,早财经丨游族网络39岁董事长救治无效昨日逝世;美国一医生注射莫德...,http://www.nbd.com.cn/articles/2020-12-25/1581076.html,每日经济新闻,2020-12-26,15
北京肺炎疫情实时动态,【美国最新疫情动态:美国累计确诊病例超过1911万例、死亡人数超33...,http://www.fx168.com/fx168_t/2012/4520204.shtml,FX168财经网,2020-12-25,15
北京肺炎疫情实时动态,截至12月24日24时全国新型冠状病毒肺炎疫情最新情况,http://www.beijing.gov.cn/ywdt/zwzt/yqfk/yqbb/202012/t20201225_2185408.html,北京市人民政府,2020-12-25,40
